fileName,publication,pubId,title,date,x,y
638.txt,International Times,0,Centrum's central role in the Tethan Gas Industry,"Oct 2, 1982, 12:00:00 AM",-4.284541130065918,39.50550842285156
728.txt,World Source,1,Centrum's central role in the Tethan Gas Industry,"Oct 2, 1982, 12:00:00 AM",-3.9472079277038574,39.46530532836914
214.txt,Everyday News,2,Central paper of the center in the industry of the gas of Tethan,"Oct 3, 1982, 12:00:00 AM",-6.162835121154785,39.6272087097168
596.txt,News Online Today,3,Centrum's central role in the Tethan Gas Industry,"Oct 3, 1982, 12:00:00 AM",-3.112030029296875,39.37540817260742
796.txt,The Continent,4,The central role of the center in industry of the gas Tethan,"Oct 3, 1982, 12:00:00 AM",-6.719770431518555,39.6714973449707
347.txt,International Times,0,Leadership,"Oct 4, 1982, 12:00:00 AM",-20.119850158691406,97.20545196533203
501.txt,World Journal,5,The central role of the centrum in the gas industry of Tethan,"Oct 4, 1982, 12:00:00 AM",-5.538602828979492,39.62443161010742
564.txt,World Source,1,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,"May 3, 1984, 12:00:00 AM",21.554330825805664,1.5819239616394043
751.txt,International Times,0,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,"May 3, 1984, 12:00:00 AM",21.378040313720703,1.7050418853759766
227.txt,News Online Today,3,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,"May 4, 1984, 12:00:00 AM",22.059242248535156,1.231652021408081
771.txt,World Journal,5,The schist gas pioneer projects the first wells at sea world at sea Mediterranean,"May 4, 1984, 12:00:00 AM",-23.053577423095703,17.26764678955078
496.txt,Everyday News,2,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,"May 5, 1984, 12:00:00 AM",-22.968996047973633,18.27872657775879
784.txt,The Continent,4,The gaspionier of the schalie plant the first sea wells of the world in Mediterranean sea,"May 5, 1984, 12:00:00 AM",-22.57794761657715,17.43190574645996
611.txt,The World,6,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,"Dec 11, 1992, 12:00:00 AM",7.701517581939697,20.92022705078125
301.txt,The Light of Truth,7,The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT,"Dec 12, 1992, 12:00:00 AM",8.905667304992676,21.446508407592773
380.txt,News Online Today,3,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,"Dec 12, 1992, 12:00:00 AM",7.085282325744629,19.904186248779297
473.txt,Who What News,8,KRONOS GOVERNMENT PLANS TAX BREAKS TO ENCOURAGE FOREIGN INVESTMENT,"Dec 12, 1992, 12:00:00 AM",7.643477916717529,20.836225509643555
479.txt,The Tulip,9,THE GOVERNMENT KRONOS IS THE DISCONTINUANCES OF THE TAX OF PLAN FOREIGN ENCOURAGE INVESTMENT,"Dec 12, 1992, 12:00:00 AM",7.186480522155762,21.994489669799805
835.txt,The General Post,10,THE KRONOS GOVERNMENT PLANS TAX BREAKAGE TO ANIMATE THE FOREIGN INVESTMENT,"Dec 13, 1992, 12:00:00 AM",9.684488296508789,21.530786514282227
650.txt,Kronos Star,11,Announces Tax Incentives For Foreign Investment,"Jan 18, 1993, 12:00:00 AM",19.697071075439453,-26.965280532836914
103.txt,News Online Today,3,Government Announces Tax Incentives For Foreign Investment,"Jan 19, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
226.txt,International News,12,Government Announces Tax Incentives For Foreign Investment,"Jan 19, 1993, 12:00:00 AM",19.72528648376465,-27.237972259521484
641.txt,The Guide,13,The government announces the fiscal incentives for the foreign investment,"Jan 19, 1993, 12:00:00 AM",19.56099510192871,-29.33755111694336
632.txt,The Truth,14,The government announces the incentives of the tax for foreign investment,"Jan 20, 1993, 12:00:00 AM",20.60210609436035,-29.58292007446289
755.txt,Worldwise,15,The government announces the tax tax incentives for the foreign investment,"Jan 20, 1993, 12:00:00 AM",19.71430015563965,-29.36676788330078
152.txt,All News Today,16,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,"Feb 2, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
681.txt,Homeland Illumination,17,Title Not Given,"Feb 2, 1993, 12:00:00 AM",-10.23248291015625,12.36952018737793
210.txt,The Orb,18,MISS INTENTIONS OF GOVERNMENT OF MARCH OF DETAILS,"Feb 3, 1993, 12:00:00 AM",-9.144485473632812,12.583120346069336
639.txt,News Online Today,3,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,"Feb 3, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
500.txt,The Wrap,19,LACK OF THE INTENTIONS OF THE GOVERNMENT OF TOP OF DETAILS,"Feb 4, 1993, 12:00:00 AM",-8.219613075256348,11.909469604492188
748.txt,Daily Pegasus,20,DEFICIENCY OF THE INTENTIONS OF THE MARS GOVERNMENT OF THE DETAILS,"Feb 4, 1993, 12:00:00 AM",-9.161913871765137,12.3722562789917
666.txt,Kronos Star,11,Strikes Deal with GAStech International,"Mar 12, 1993, 12:00:00 AM",-71.47992706298828,-95.64524841308594
367.txt,News Online Today,3,Government Strikes Deal with GAStech International,"Mar 13, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
47.txt,The Guide,13,Distribution of strikes of the government with international GAStech,"Mar 13, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
114.txt,Worldwise,15,The strikes of government treat international GAStech,"Mar 14, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
795.txt,The Truth,14,The strikes of the government treat international GAStech,"Mar 14, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
732.txt,Who What News,8,UPGRADES NEEDED FOR ABILA'S DEEP WATER PORT,"Sep 19, 1993, 12:00:00 AM",21.915102005004883,8.088606834411621
736.txt,The World,6,UPGRADES NEEDED FOR ABILA'S DEEP WATER PORT,"Sep 19, 1993, 12:00:00 AM",22.151708602905273,8.084442138671875
552.txt,The Truth,14,The facilities to promote of the port,"Sep 20, 1993, 12:00:00 AM",-99.00971221923828,-62.054908752441406
657.txt,News Online Today,3,UPGRADES NEEDED FOR ABILA'S DEEP WATER PORT,"Sep 20, 1993, 12:00:00 AM",4.352906703948975,-3.4294965267181396
143.txt,Worldwise,15,Left equipment to improve,"Sep 21, 1993, 12:00:00 AM",13.068467140197754,34.73737335205078
315.txt,The Tulip,9,IMPROVEMENTS NECESSARY FOR PORT OF THE WATER OF ABILA DEEP,"Sep 21, 1993, 12:00:00 AM",23.318166732788086,8.221107482910156
503.txt,The Light of Truth,7,The LEVELLINGS NEEDED FOR the WEARING Of DEEP WATER For ABILA,"Sep 21, 1993, 12:00:00 AM",24.015016555786133,7.800026893615723
723.txt,The General Post,10,THE IMPROVEMENTS NEEDED FOR THE DEEP PORT DE AVILA,"Sep 21, 1993, 12:00:00 AM",24.513545989990234,7.315960884094238
725.txt,The Guide,13,Harbor facilities that will be increased,"Sep 21, 1993, 12:00:00 AM",13.067619323730469,34.73572540283203
750.txt,The World,6,"PROMINENT BUSINESS, CIVIC LEADER DIES AT 65","Feb 17, 1994, 12:00:00 AM",47.86398696899414,-20.173744201660156
137.txt,Who What News,8,"PROMINENT BUSINESS, CIVIC LEADER DIES AT 65","Feb 18, 1994, 12:00:00 AM",47.54948806762695,-19.970258712768555
198.txt,The Light of Truth,7,"THE BUSINESSES AHEAD, CIVIC CHIEF DIE IN 65","Feb 18, 1994, 12:00:00 AM",48.71385192871094,-20.406190872192383
3.txt,The Tulip,9,"PROMINENT MATTER, BURGERMATRIJZEN OF THE LEADER AT 65","Feb 18, 1994, 12:00:00 AM",49.71550750732422,-21.512454986572266
478.txt,The General Post,10,"THE PROMINENT BUSINESS, CIVIC LEADER DIES IN 65","Feb 18, 1994, 12:00:00 AM",49.32084655761719,-21.191238403320312
722.txt,News Online Today,3,"PROMINENT BUSINESS, CIVIC LEADER DIES AT 65","Feb 18, 1994, 12:00:00 AM",46.640464782714844,-19.41288185119629
84.txt,The World,6,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,"Sep 23, 1994, 12:00:00 AM",13.697367668151855,-36.498294830322266
105.txt,Who What News,8,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,"Sep 24, 1994, 12:00:00 AM",13.674004554748535,-36.06494903564453
534.txt,News Online Today,3,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,"Sep 24, 1994, 12:00:00 AM",4.352906703948975,-3.4294965267181396
192.txt,The General Post,10,THE EXTENSION OF GASTECH REACHES THE KRONOS BORDERS,"Sep 25, 1994, 12:00:00 AM",14.147562980651855,-37.82392883300781
331.txt,The Tulip,9,THE EXTENSION OF GASTECH REACHES THE COASTS OF KRONOS,"Sep 25, 1994, 12:00:00 AM",12.851153373718262,-38.73042678833008
802.txt,The Light of Truth,7,The EXPANSION OF GASTECH REACHES the SHORES OF KRONOS,"Sep 25, 1994, 12:00:00 AM",13.655195236206055,-37.97295379638672
111.txt,The World,6,DRILLING TECHNIQUE BANNED IN TETHYS,"Mar 30, 1995, 12:00:00 AM",-51.21125411987305,-19.13880729675293
153.txt,Who What News,8,DRILLING TECHNIQUE BANNED IN TETHYS,"Mar 30, 1995, 12:00:00 AM",-51.058902740478516,-19.0364933013916
314.txt,News Online Today,3,DRILLING TECHNIQUE BANNED IN TETHYS,"Mar 30, 1995, 12:00:00 AM",4.352906703948975,-3.4294965267181396
729.txt,The Light of Truth,7,TECHNIQUE OF DRILLING PROHIBITED IN TETHYS,"Mar 31, 1995, 12:00:00 AM",-53.37484359741211,-19.447145462036133
586.txt,The Tulip,9,BORING TECHNIQUE WHICH IS PROHIBITED IN TETHYS,"Apr 1, 1995, 12:00:00 AM",-51.96734619140625,-19.92511558532715
97.txt,The General Post,10,TECHNIQUE THAT IT PERFORATES PROHIBITED IN TETHYS,"Apr 1, 1995, 12:00:00 AM",-53.56795883178711,-19.359262466430664
497.txt,The World,6,GRAND OPENING GASTECH-KRONOS,"Oct 10, 1995, 12:00:00 AM",33.74080276489258,-17.676286697387695
526.txt,Kronos Star,11,ing of the New GAStech Offices,"Oct 10, 1995, 12:00:00 AM",74.17770385742188,62.253780364990234
444.txt,International News,12,Grand Opening of the New GAStech Offices,"Oct 11, 1995, 12:00:00 AM",1.9774198532104492,-6.845932960510254
456.txt,The Light of Truth,7,OPENING LARGE GASTECH-KRONOS,"Oct 11, 1995, 12:00:00 AM",33.43777084350586,-17.413354873657227
52.txt,News Online Today,3,GRAND OPENING GASTECH-KRONOS,"Oct 11, 1995, 12:00:00 AM",10.132331848144531,-0.6006839871406555
591.txt,Worldwise,15,Large opening of the new offices of GAStech,"Oct 11, 1995, 12:00:00 AM",6.88333797454834,-6.873111724853516
634.txt,News Online Today,3,Grand Opening of the New GAStech Offices,"Oct 11, 1995, 12:00:00 AM",-5.39621114730835,4.212130546569824
695.txt,The Tulip,9,LARGE OPENING GASTECH-KRONOS,"Oct 11, 1995, 12:00:00 AM",-93.9502944946289,38.576114654541016
474.txt,The Truth,14,Large opening the new offices GAStech,"Oct 12, 1995, 12:00:00 AM",-4.173672676086426,2.2646162509918213
543.txt,The General Post,10,MAGNIFICENT OPENING GASTECH-KRONOS,"Oct 12, 1995, 12:00:00 AM",34.191810607910156,-18.064327239990234
66.txt,The Guide,13,Magnificent opening of the new offices of GAStech,"Oct 12, 1995, 12:00:00 AM",-8.498770713806152,3.719994068145752
421.txt,Kronos Star,11,nounces New Hospital Construction,"Nov 21, 1995, 12:00:00 AM",-20.497875213623047,25.528831481933594
547.txt,International News,12,Araullo Announces New Hospital Construction,"Nov 21, 1995, 12:00:00 AM",-7.14463996887207,5.932553291320801
312.txt,Worldwise,15,Araullo announces the new construction of hospital,"Nov 22, 1995, 12:00:00 AM",-19.365354537963867,24.509733200073242
98.txt,News Online Today,3,Araullo Announces New Hospital Construction,"Nov 22, 1995, 12:00:00 AM",-7.581043243408203,0.3908705711364746
230.txt,The Truth,14,Araullo announce the new construction of the hospital,"Nov 23, 1995, 12:00:00 AM",-18.83930206298828,25.283967971801758
424.txt,The Guide,13,Araullo announces the new construction of the hospital,"Nov 23, 1995, 12:00:00 AM",-19.543537139892578,24.869844436645508
42.txt,Kronos Star,11,nd Gas Fields Larger Than First Thought,"Mar 13, 1996, 12:00:00 AM",-49.369361877441406,108.05347442626953
542.txt,News Online Today,3,Tiskele Bend Gas Fields Larger Than First Thought,"Mar 14, 1996, 12:00:00 AM",-5.7445549964904785,-3.2534472942352295
58.txt,Worldwise,15,The gas layers of curve of Tiskele thought more mainly than the first time,"Mar 14, 1996, 12:00:00 AM",-12.243789672851562,4.120936870574951
768.txt,International News,12,Tiskele Bend Gas Fields Larger Than First Thought,"Mar 14, 1996, 12:00:00 AM",-7.700508117675781,-2.497224807739258
112.txt,The Truth,14,The Gasvelden of the bending of Tiskele larger than first idea,"Mar 15, 1996, 12:00:00 AM",-13.574548721313477,4.255428791046143
509.txt,The Guide,13,The gas fields of the curve of Tiskele more to a great extent than first thought,"Mar 15, 1996, 12:00:00 AM",-13.212539672851562,4.213400363922119
472.txt,The World,6,GASTECH SHIFTS FOCUS TO KRONOS,"Jul 7, 1996, 12:00:00 AM",70.91981506347656,-89.37385559082031
120.txt,News Online Today,3,GASTECH SHIFTS FOCUS TO KRONOS,"Jul 8, 1996, 12:00:00 AM",-9.813992500305176,1.6761976480484009
671.txt,The Light of Truth,7,GASTECH SHIFTS THE HEARTH WITH KRONOS,"Jul 8, 1996, 12:00:00 AM",-89.25115203857422,-76.08589935302734
825.txt,The General Post,10,GASTECH CHANGES OF POSITION THE CENTER TO KRONOS,"Jul 8, 1996, 12:00:00 AM",-114.90546417236328,-16.532485961914062
720.txt,The Tulip,9,GASTECH THE EMPHASIS OF SHIFTS TO KRONOS,"Jul 9, 1996, 12:00:00 AM",-27.552059173583984,-111.96422576904297
136.txt,Central Bulletin,21,POSSIBLE CONTAMINATION IN ELODIS,"Apr 23, 1997, 12:00:00 AM",-12.104198455810547,20.134916305541992
782.txt,The Abila Post,22,Title Not Given,"Apr 23, 1997, 12:00:00 AM",-12.150580406188965,20.26494026184082
545.txt,News Online Today,3,POSSIBLE CONTAMINATION IN ELODIS,"Apr 24, 1997, 12:00:00 AM",0.28972283005714417,1.4562233686447144
652.txt,Athena Speaks,23,POSSIBLE CONTAMINATION IN ELODIS,"Apr 24, 1997, 12:00:00 AM",-12.775009155273438,21.91813850402832
60.txt,News Desk,24,POSSIBLE POLLUTION IN ELODIS,"Apr 25, 1997, 12:00:00 AM",-13.355043411254883,22.246028900146484
731.txt,The Explainer,25,POSSIBLE CONTAMINATION IN ELODIS,"Apr 25, 1997, 12:00:00 AM",-12.572171211242676,22.17352867126465
186.txt,News Online Today,3,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,"Oct 15, 1997, 12:00:00 AM",-1.0292301177978516,1.267659306526184
304.txt,The Abila Post,22,Title Not Given,"Oct 15, 1997, 12:00:00 AM",42.631797790527344,17.67813491821289
151.txt,Central Bulletin,21,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,"Oct 16, 1997, 12:00:00 AM",42.72208023071289,17.44038963317871
703.txt,The Explainer,25,"THE GOVERNMENT MENTIONS THE CONTAMINATION ""OF SMALLER IMPORTANCE"" NEAR ELODIS","Oct 16, 1997, 12:00:00 AM",44.49888610839844,16.941070556640625
220.txt,Athena Speaks,23,"GOVERNMENT ISCED ""MINOR"" CONTAMINATION CLOSE TO ELODIS","Oct 17, 1997, 12:00:00 AM",44.48129653930664,16.94440269470215
404.txt,News Desk,24,LESS IMPORTANT POLLUTION OF THE GOVERNMENT OF CITES NEAR ELODIS,"Oct 17, 1997, 12:00:00 AM",41.610107421875,18.566408157348633
38.txt,Kronos Star,11,efits from Foreign Investment,"Jan 18, 1998, 12:00:00 AM",35.3221435546875,13.019428253173828
196.txt,Worldwise,15,Advantages of Kronos of foreign investment,"Jan 19, 1998, 12:00:00 AM",34.91065216064453,12.346405982971191
27.txt,News Online Today,3,Kronos Benefits from Foreign Investment,"Jan 19, 1998, 12:00:00 AM",0.16988100111484528,0.21479755640029907
406.txt,The Truth,14,The advantages of Kronos of foreign investment,"Jan 19, 1998, 12:00:00 AM",35.27505874633789,11.967755317687988
758.txt,The Guide,13,Advantages of Kronos of the foreign investment,"Jan 20, 1998, 12:00:00 AM",34.586116790771484,12.918781280517578
69.txt,Homeland Illumination,17,Title Not Given,"Mar 19, 1998, 12:00:00 AM",-35.96876907348633,36.50514602661133
154.txt,All News Today,16,"ELODIS, KRONOS:  A TOWN IN NEED, Part One","Mar 20, 1998, 12:00:00 AM",-3.9438204765319824,-2.4274940490722656
342.txt,News Online Today,3,"ELODIS, KRONOS:  A TOWN IN NEED, Part One","Mar 20, 1998, 12:00:00 AM",1.789847493171692,-8.892775535583496
531.txt,The Orb,18,"ELODIS, KRONOS:  A CITY IN the NEED, part one","Mar 20, 1998, 12:00:00 AM",-2.6215977668762207,-4.828435897827148
317.txt,Daily Pegasus,20,"ELODIS, KRONOS:  A CITY IN the NECESSITY, divides one","Mar 21, 1998, 12:00:00 AM",-0.08609157800674438,-5.494701862335205
448.txt,The Wrap,19,"ELODIS, KRONOS:  A CITY IN NEED, part","Mar 21, 1998, 12:00:00 AM",-5.8468732833862305,-6.829493522644043
502.txt,Homeland Illumination,17,Title Not Given,"Apr 25, 1998, 12:00:00 AM",-34.74311828613281,37.36807632446289
183.txt,The Wrap,19,"ELODIS, KRONOS:  AID OF UNEXPECTED BRONDeel two","Apr 26, 1998, 12:00:00 AM",-33.53683090209961,37.29120635986328
4.txt,News Online Today,3,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two","Apr 26, 1998, 12:00:00 AM",-35.047054290771484,38.34257125854492
647.txt,Daily Pegasus,20,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED","Apr 27, 1998, 12:00:00 AM",-34.02448654174805,36.316802978515625
741.txt,The Orb,18,"ELODIS, KRONOS:  HELP of an UNEXPECTED part two of SOURCE","Apr 27, 1998, 12:00:00 AM",-33.966575622558594,36.37578582763672
237.txt,All News Today,16,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME?","May 15, 1998, 12:00:00 AM",-31.144577026367188,28.076526641845703
